y_pctl_openness
34.0
46.0
23.0
52.0
80.0
59.0
46.0
59.0
59.0
34.0
10.0
14.0
40.0
18.0
46.0
23.0
88.0
28.0
65.0
1.0
4.0
52.0
18.0
14.0
46.0
65.0
28.0
15.0
11.0
34.0
65.0
52.0
4.0
46.0
52.0
40.0
1.0
96.0
90.0
52.0
40.0
18.0
69.0
80.0
4.0
23.0
96.0
34.0
84.0
28.0
52.0
93.0
3.0
18.0
40.0
52.0
93.0
11.0
28.0
65.0
37.0
23.0
52.0
46.0
