y_pctl_conscientiousness
36.0
87.0
62.0
57.0
92.0
7.0
87.0
67.0
72.0
15.0
5.0
80.0
52.0
89.0
18.0
84.0
62.0
18.0
12.0
22.0
52.0
18.0
26.0
36.0
87.0
4.0
57.0
9.0
67.0
54.0
41.0
80.0
62.0
57.0
96.0
52.0
62.0
79.0
72.0
48.0
36.0
72.0
69.0
84.0
46.0
57.0
67.0
52.0
46.0
68.0
72.0
76.0
18.0
67.0
52.0
36.0
98.0
12.0
72.0
31.0
38.0
57.0
80.0
52.0
