y_pctl_extroversion
92.0
78.0
81.0
81.0
37.0
83.0
83.0
33.0
81.0
74.0
6.0
83.0
45.0
50.0
11.0
74.0
86.0
81.0
70.0
3.0
45.0
96.0
74.0
86.0
83.0
70.0
86.0
58.0
83.0
70.0
70.0
58.0
37.0
70.0
37.0
50.0
6.0
41.0
78.0
88.0
50.0
78.0
50.0
90.0
81.0
29.0
9.0
22.0
83.0
58.0
74.0
54.0
11.0
4.0
33.0
86.0
95.0
83.0
16.0
54.0
45.0
37.0
50.0
50.0
