y_pctl_neuroticism
52.0
48.0
7.0
52.0
78.0
66.0
66.0
30.0
16.0
16.0
4.0
93.0
16.0
16.0
48.0
66.0
84.0
26.0
48.0
66.0
62.0
52.0
16.0
57.0
39.0
81.0
81.0
78.0
62.0
39.0
57.0
30.0
9.0
34.0
95.0
81.0
66.0
96.0
7.0
41.0
48.0
66.0
39.0
43.0
43.0
52.0
19.0
26.0
16.0
70.0
70.0
22.0
70.0
43.0
67.0
70.0
84.0
5.0
43.0
57.0
36.0
34.0
22.0
57.0
