,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
scie,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6874999999999996,0.6874999999999996,0.6874999999999996,0.6624999999999996,0.6999999999999995,0.6749999999999996,0.7124999999999995,0.7124999999999995,0.7124999999999995,0.6499999999999997,0.6249999999999998,0.6249999999999998,0.5999999999999999,0.5999999999999999,0.55,0.5375000000000001,0.5000000000000002,0.46250000000000024,0.46250000000000024,0.46250000000000024,0.45000000000000023,0.4375000000000002,0.46250000000000024,0.46250000000000024,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.46250000000000024,0.46250000000000024,0.45000000000000023,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002,0.4375000000000002
math,0.5000000000000002,0.5000000000000002,0.5000000000000002,0.5000000000000002,0.5000000000000002,0.5375000000000001,0.575,0.6249999999999998,0.6249999999999998,0.6624999999999996,0.6874999999999996,0.7249999999999994,0.7874999999999992,0.7874999999999992,0.837499999999999,0.7999999999999992,0.8249999999999991,0.8249999999999991,0.8624999999999989,0.849999999999999,0.8249999999999991,0.837499999999999,0.8124999999999991,0.8124999999999991,0.8124999999999991,0.7999999999999992,0.7874999999999992,0.7749999999999992,0.7749999999999992,0.7749999999999992,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993
sport,0.6374999999999997,0.6374999999999997,0.6374999999999997,0.6374999999999997,0.6374999999999997,0.6374999999999997,0.6374999999999997,0.6374999999999997,0.6374999999999997,0.6249999999999998,0.6249999999999998,0.6624999999999996,0.6624999999999996,0.6624999999999996,0.6749999999999996,0.6999999999999995,0.7249999999999994,0.7249999999999994,0.7499999999999993,0.7374999999999994,0.7249999999999994,0.7499999999999993,0.7624999999999993,0.7749999999999992,0.7624999999999993,0.7249999999999994,0.6749999999999996,0.6624999999999996,0.6374999999999997,0.6249999999999998,0.5999999999999999,0.55,0.55,0.5375000000000001,0.5375000000000001,0.5125000000000002,0.47500000000000026,0.46250000000000024,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.46250000000000024,0.46250000000000024,0.45000000000000023,0.4250000000000002,0.4250000000000002,0.4250000000000002,0.4250000000000002,0.4250000000000002,0.4250000000000002,0.4250000000000002,0.4250000000000002,0.4250000000000002,0.4125000000000002,0.4125000000000002,0.4125000000000002,0.4125000000000002,0.4125000000000002,0.4125000000000002,0.4125000000000002,0.4125000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.3875000000000002,0.3875000000000002,0.3875000000000002,0.3875000000000002,0.3875000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002
ent,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7374999999999994,0.6749999999999996,0.6374999999999997,0.6249999999999998,0.575,0.5125000000000002,0.46250000000000024,0.4250000000000002,0.4000000000000002,0.36250000000000016,0.36250000000000016,0.35000000000000014,0.35000000000000014,0.3000000000000001,0.3000000000000001,0.26250000000000007,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.26250000000000007,0.26250000000000007,0.25000000000000006,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007,0.23750000000000007
hist,0.7124999999999995,0.7124999999999995,0.7124999999999995,0.7124999999999995,0.7124999999999995,0.7374999999999994,0.7499999999999993,0.7624999999999993,0.7499999999999993,0.7374999999999994,0.7374999999999994,0.7499999999999993,0.7499999999999993,0.7374999999999994,0.6499999999999997,0.6624999999999996,0.6749999999999996,0.6749999999999996,0.6624999999999996,0.6499999999999997,0.5874999999999999,0.5874999999999999,0.575,0.5625,0.5625,0.5375000000000001,0.5125000000000002,0.5125000000000002,0.5125000000000002,0.5000000000000002,0.5000000000000002,0.5000000000000002,0.5000000000000002,0.48750000000000027,0.48750000000000027,0.48750000000000027,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.47500000000000026
geo,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4250000000000002,0.4250000000000002,0.45000000000000023,0.45000000000000023,0.46250000000000024,0.48750000000000027,0.5125000000000002,0.5250000000000001,0.5250000000000001,0.5375000000000001,0.55,0.5999999999999999,0.6124999999999998,0.6374999999999997,0.6124999999999998,0.6124999999999998,0.6124999999999998,0.6249999999999998,0.5999999999999999,0.5874999999999999,0.5874999999999999,0.5999999999999999,0.6124999999999998,0.6124999999999998,0.6124999999999998,0.6124999999999998,0.6249999999999998,0.6374999999999997,0.6374999999999997,0.6374999999999997,0.6374999999999997,0.6374999999999997,0.6374999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6374999999999997,0.6374999999999997,0.6374999999999997,0.6374999999999997,0.6374999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997
arch,0.5625,0.5625,0.5625,0.5625,0.575,0.575,0.6124999999999998,0.6249999999999998,0.6249999999999998,0.6499999999999997,0.6874999999999996,0.6999999999999995,0.7249999999999994,0.7249999999999994,0.7499999999999993,0.7624999999999993,0.7999999999999992,0.7874999999999992,0.7874999999999992,0.7749999999999992,0.7499999999999993,0.7249999999999994,0.7249999999999994,0.6999999999999995,0.6999999999999995,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6499999999999997
extroversion,0.5874999999999999,0.5874999999999999,0.5874999999999999,0.5874999999999999,0.5874999999999999,0.5874999999999999,0.5874999999999999,0.5999999999999999,0.5999999999999999,0.5999999999999999,0.5874999999999999,0.5874999999999999,0.5874999999999999,0.5999999999999999,0.6124999999999998,0.6249999999999998,0.6124999999999998,0.6124999999999998,0.6374999999999997,0.6374999999999997,0.6249999999999998,0.6374999999999997,0.6499999999999997,0.6374999999999997,0.6374999999999997,0.6374999999999997,0.6249999999999998,0.6124999999999998,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6374999999999997,0.6374999999999997,0.6249999999999998,0.6249999999999998,0.6499999999999997,0.5999999999999999,0.5874999999999999,0.575,0.575,0.55,0.55,0.5625,0.55,0.5250000000000001,0.5250000000000001,0.5375000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5000000000000002,0.5000000000000002,0.5000000000000002,0.5000000000000002,0.47500000000000026,0.47500000000000026,0.47500000000000026,0.46250000000000024,0.46250000000000024,0.46250000000000024,0.46250000000000024,0.46250000000000024,0.46250000000000024,0.46250000000000024,0.46250000000000024,0.46250000000000024,0.46250000000000024,0.46250000000000024,0.46250000000000024,0.46250000000000024,0.46250000000000024,0.46250000000000024,0.46250000000000024,0.46250000000000024,0.46250000000000024,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023
neuroticism,0.5000000000000002,0.5000000000000002,0.5000000000000002,0.5000000000000002,0.5000000000000002,0.5000000000000002,0.5000000000000002,0.5000000000000002,0.5000000000000002,0.5000000000000002,0.48750000000000027,0.5000000000000002,0.47500000000000026,0.47500000000000026,0.5125000000000002,0.55,0.5625,0.5625,0.5999999999999999,0.5999999999999999,0.5999999999999999,0.5874999999999999,0.5999999999999999,0.5999999999999999,0.6124999999999998,0.5375000000000001,0.575,0.5625,0.575,0.575,0.5625,0.5375000000000001,0.5375000000000001,0.5375000000000001,0.5375000000000001,0.5375000000000001,0.5250000000000001,0.5125000000000002,0.5125000000000002,0.5125000000000002,0.5125000000000002,0.5125000000000002,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001
agreeableness,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7624999999999993,0.7624999999999993,0.7624999999999993,0.7624999999999993,0.7624999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.7624999999999993,0.7499999999999993,0.7499999999999993,0.7374999999999994,0.7249999999999994,0.7249999999999994,0.7249999999999994,0.6999999999999995,0.6999999999999995,0.6624999999999996,0.6124999999999998,0.5874999999999999,0.5625,0.5625,0.5250000000000001,0.5000000000000002,0.55,0.55,0.5375000000000001,0.55,0.5625,0.55,0.55,0.55,0.5125000000000002,0.5125000000000002,0.5125000000000002,0.5000000000000002,0.46250000000000024,0.4375000000000002,0.4000000000000002,0.3875000000000002,0.37500000000000017,0.37500000000000017,0.33750000000000013,0.33750000000000013,0.33750000000000013,0.3125000000000001,0.3125000000000001,0.3125000000000001,0.3125000000000001,0.3125000000000001,0.3125000000000001,0.3125000000000001,0.3125000000000001,0.3000000000000001,0.3000000000000001,0.3000000000000001,0.3000000000000001,0.2875000000000001,0.2875000000000001,0.2875000000000001,0.2875000000000001,0.2875000000000001,0.2750000000000001,0.2750000000000001,0.2750000000000001,0.2875000000000001,0.2875000000000001,0.2875000000000001,0.2875000000000001,0.2875000000000001,0.2875000000000001,0.2875000000000001,0.2875000000000001,0.2875000000000001,0.2875000000000001,0.2875000000000001,0.2875000000000001,0.2875000000000001,0.2875000000000001,0.2875000000000001,0.2875000000000001
